2026-08-31 21:56:50 | INFO     | api.main | [3f40f4a1] POST /api/v1/data/upload -> 400 (10.9ms)
2026-08-31 21:56:52 | INFO     | api.main | [dc66e9b0] POST /api/v1/data/upload -> 400 (1.7ms)
2026-08-31 21:57:26 | INFO     | api.main | [e20233ae] POST /api/v1/data/upload -> 200 (4.5ms)
2026-08-31 21:58:27 | INFO     | api.main | [40c20fc4] POST /api/v1/reports -> 202 (11.3ms)
2026-08-31 21:58:27 | ERROR    | api.jobs | Job e43418b6-40d8-4fb9-855a-ffe698a56531 failed: Data file not found: C:\Users\user\PycharmProjects\AutomatedReportSystem\data\string
2026-08-31 22:01:27 | INFO     | api.main | [f4006704] GET /api/v1/reports -> 200 (4.5ms)
2026-08-31 22:01:38 | INFO     | api.main | [e5967706] POST /api/v1/reports -> 202 (2.5ms)
2026-08-31 22:01:38 | ERROR    | api.jobs | Job 05a462cf-c3c6-459a-b0f5-93e1cfd760ed failed: Data file not found: C:\Users\user\PycharmProjects\AutomatedReportSystem\data\string
2026-08-31 22:01:40 | INFO     | api.main | [4006cb93] POST /api/v1/reports -> 202 (4.7ms)
2026-08-31 22:01:40 | ERROR    | api.jobs | Job e7cff1d7-4323-4da2-8df7-4ca23ef5fea5 failed: Data file not found: C:\Users\user\PycharmProjects\AutomatedReportSystem\data\string
2026-08-31 22:03:10 | INFO     | api.main | [ce9fb525] POST /api/v1/reports -> 202 (4.1ms)
2026-08-31 22:03:10 | ERROR    | api.jobs | Job dbdbc524-428e-4920-8203-2bdfc1485456 failed: Data file not found: C:\Users\user\PycharmProjects\AutomatedReportSystem\data\string
2026-08-31 22:03:36 | INFO     | api.main | [334ef40c] POST /api/v1/reports -> 202 (2.7ms)
2026-08-31 22:03:36 | ERROR    | api.jobs | Job b4d4be2f-82d1-4438-a11a-cd804b7e67cd failed: Data file not found: C:\Users\user\PycharmProjects\AutomatedReportSystem\data\string
2026-08-31 22:03:43 | INFO     | api.main | [0b497708] GET /api/v1/reports -> 200 (3.6ms)
2026-08-31 22:03:47 | INFO     | api.main | [7a7bf1e5] GET /api/v1/reports -> 200 (1.8ms)
2026-08-31 22:03:55 | INFO     | api.main | [fe57e049] GET /api/v1/reports -> 200 (3.3ms)
2026-08-31 22:04:15 | INFO     | api.main | [481fbe55] GET /api/v1/jobs -> 200 (2.7ms)
2026-08-31 22:04:18 | INFO     | api.main | [2e462a38] GET /api/v1/jobs -> 200 (1.7ms)
2026-08-31 22:04:20 | INFO     | api.main | [579007f6] GET /api/v1/jobs -> 200 (2.5ms)
2026-08-31 22:04:22 | INFO     | api.main | [eabfa7b0] GET /api/v1/jobs -> 200 (2.2ms)
2026-08-31 22:04:49 | INFO     | api.main | [3292bc38] POST /api/v1/reports -> 202 (2.2ms)
2026-08-31 22:04:49 | ERROR    | api.jobs | Job ac9e8f92-9cb2-4037-8384-c1853693fbfb failed: Data file not found: C:\Users\user\PycharmProjects\AutomatedReportSystem\data\string
2026-08-31 22:05:29 | INFO     | api.main | [09593358] POST /api/v1/reports -> 202 (7.1ms)
2026-08-31 22:05:29 | ERROR    | api.jobs | Job c77cb31b-d813-452f-aaae-2b9e862023fe failed: Data file not found: C:\Users\user\PycharmProjects\AutomatedReportSystem\data\string
2026-08-31 22:05:43 | INFO     | api.main | [2a7cb108] POST /api/v1/reports -> 202 (2.1ms)
2026-08-31 22:05:43 | ERROR    | api.jobs | Job 3d661353-2075-4172-a579-77740238f563 failed: Data file not found: C:\Users\user\PycharmProjects\AutomatedReportSystem\data\string
2026-08-31 22:06:03 | INFO     | api.main | [233ee7c7] POST /api/v1/data/upload -> 200 (3.8ms)
2026-08-31 22:06:12 | INFO     | api.main | [cca1a3e5] POST /api/v1/reports -> 202 (2.4ms)
2026-08-31 22:06:12 | ERROR    | api.jobs | Job 50fa8ae4-a062-4c0d-b50d-cf59bf70b515 failed: Data file not found: C:\Users\user\PycharmProjects\AutomatedReportSystem\data\string
2026-08-31 22:08:06 | INFO     | api.main | [47da1c75] POST /api/v1/reports -> 202 (3.6ms)
2026-08-31 22:08:06 | ERROR    | api.jobs | Job 7e97c3e9-876f-40e2-aaca-933d925478da failed: Data file not found: C:\Users\user\PycharmProjects\AutomatedReportSystem\data\my_custom_data.csv
2026-08-31 22:08:19 | INFO     | api.main | [90fb07df] POST /api/v1/reports -> 202 (3.0ms)
2026-08-31 22:08:19 | INFO     | data_sources.csv_source | Extracting CSV data from C:\Users\user\PycharmProjects\AutomatedReportSystem\data\sales.csv
2026-08-31 22:08:19 | INFO     | data_sources.csv_source | Extracted 6 records from CSV
2026-08-31 22:08:19 | INFO     | data_sources.sql_source | Running SQL extraction (since=None)
2026-08-31 22:08:19 | INFO     | data_sources.sql_source | Extracted 3 records from SQL
2026-08-31 22:08:19 | INFO     | pipeline | === Pipeline started ===
2026-08-31 22:08:19 | INFO     | validators | Schema validation: 9 valid, 0 rejected
2026-08-31 22:08:19 | INFO     | validators | Outlier detection on 'revenue': 0 flagged
2026-08-31 22:08:19 | INFO     | pipeline | Validation summary: 0 errors, 0 warnings
2026-08-31 22:08:20 | INFO     | charts | Saved chart: C:\Users\user\PycharmProjects\AutomatedReportSystem\output\charts\revenue_by_category.png
2026-08-31 22:08:20 | INFO     | charts | Saved chart: C:\Users\user\PycharmProjects\AutomatedReportSystem\output\charts\revenue_trend.png
2026-08-31 22:08:20 | INFO     | charts | Saved chart: C:\Users\user\PycharmProjects\AutomatedReportSystem\output\charts\region_share.png
2026-08-31 22:08:20 | INFO     | exporters.pdf_exporter | PDF report written to C:\Users\user\PycharmProjects\AutomatedReportSystem\output\Annualy_Sales_Report_20260831_220820.pdf
2026-08-31 22:08:20 | INFO     | exporters.excel_exporter | Excel report written to C:\Users\user\PycharmProjects\AutomatedReportSystem\output\Annualy_Sales_Report_20260831_220820.xlsx
2026-08-31 22:08:20 | INFO     | pipeline | === Pipeline finished ===
2026-08-31 22:08:32 | INFO     | api.main | [f6d02a1c] GET /api/v1/reports -> 200 (9.4ms)
2026-08-31 22:19:44 | INFO     | api.main | [c3facf0d] GET /docs -> 200 (0.8ms)
2026-08-31 22:19:44 | INFO     | api.main | [fa2f4a27] GET /openapi.json -> 200 (49.9ms)
2026-08-31 22:20:09 | INFO     | api.main | [714a759a] GET /api/v1/reports -> 200 (5.0ms)
2026-08-31 22:20:11 | INFO     | api.main | [013c23e1] GET /api/v1/reports -> 200 (1.9ms)
2026-08-31 22:20:15 | INFO     | api.main | [ff8d8463] GET /api/v1/reports -> 401 (0.9ms)
